masv,mamh,diem
C0032,TOA1,5.0
C0032,TOA2,10.0
C0032,TTNT,6.5
C0033,CSD1,7.5
C0033,CSD2,4.0
C0033,CTDL,8.5
C0033,KTLT,8.0
C0033,LQL1,6.5
C0033,LQL2,5.5
C0033,NMLT,9.0
C0033,TOA1,6.5
C0033,TOA2,8.5
C0033,TTNT,5.0
C0034,CSD1,8.5
C0034,CSD2,5.0
C0034,CTDL,5.5
C0034,KTLT,7.0
C0034,LQL1,6.0
C0034,LQL2,4.0
C0034,NMLT,9.0
C0034,TOA1,6.0
C0034,TOA2,8.5
C0034,TTNT,8.0
C0035,CSD1,8.5
C0035,CSD2,8.5
C0035,CTDL,5.5
C0035,KTLT,6.0
C0035,LQL1,6.5
C0035,LQL2,9.0
C0035,NMLT,7.5
C0035,TOA1,7.0
C0035,TOA2,8.5
C0035,TTNT,7.0
C0036,CSD1,6.0
C0036,CSD2,4.0
C0036,CTDL,7.5
C0036,KTLT,9.0
C0036,LQL1,4.5
C0036,LQL2,9.5
C0036,NMLT,6.0
C0036,TOA1,8.0
C0036,TOA2,7.5
C0036,TTNT,7.5
C0037,CSD1,6.5
C0037,CSD2,7.5
C0037,CTDL,10.0
C0037,KTLT,4.0
C0037,LQL1,7.0
C0037,LQL2,10.0
C0037,NMLT,7.5
C0037,TOA1,8.5
C0037,TOA2,7.0
C0037,TTNT,6.0
C0038,CSD1,8.0
C0038,CSD2,10.0
C0038,CTDL,4.0
C0038,KTLT,5.0
C0038,LQL1,5.5
C0038,LQL2,5.0
C0038,NMLT,6.0
C0038,TOA1,10.0
C0038,TOA2,9.5
C0038,TTNT,6.5
C0039,CSD1,5.5
C0039,CSD2,8.5
C0039,CTDL,8.0
C0039,KTLT,9.5
C0039,LQL1,5.0
C0039,LQL2,7.0
C0039,NMLT,4.5
C0039,TOA1,5.5
C0039,TOA2,7.5
C0039,TTNT,5.5
C0040,CSD1,6.0
C0040,CSD2,6.5
C0040,CTDL,7.5
C0040,KTLT,5.5
C0040,LQL1,5.0
C0040,LQL2,9.0
C0040,NMLT,4.0
C0040,TOA1,5.5
C0040,TOA2,7.0
C0040,TTNT,5.0
C0041,CSD1,6.5
C0041,CSD2,8.5
C0041,CTDL,8.0
C0041,KTLT,6.5
C0041,LQL1,5.5
C0041,LQL2,10.0
C0041,NMLT,9.0
C0041,TOA1,7.0
C0041,TOA2,4.5
C0041,TTNT,9.0
C0042,CSD1,9.0
C0042,CSD2,5.0
C0042,CTDL,7.0
C0042,KTLT,8.0
C0042,LQL1,7.0
C0042,LQL2,7.0
C0042,NMLT,7.5
C0042,TOA1,8.5
C0042,TOA2,8.5
C0042,TTNT,8.0
C0043,CSD1,8.5
C0043,CSD2,5.0
C0043,CTDL,8.0
C0043,KTLT,7.0
C0043,LQL1,9.5
C0043,LQL2,8.5
C0043,NMLT,7.0
C0043,TOA1,9.0
C0043,TOA2,5.0
C0043,TTNT,5.0
C0044,CSD1,6.5
C0044,CSD2,6.5
C0044,CTDL,9.5
C0044,KTLT,8.5
C0044,LQL1,7.0
C0044,LQL2,7.5
C0044,NMLT,9.5
C0044,TOA1,7.5
C0044,TOA2,9.0
C0044,TTNT,9.0
C0045,CSD1,6.5
C0045,CSD2,7.0
C0045,CTDL,7.5
C0045,KTLT,8.0
C0045,LQL1,6.0
C0045,LQL2,5.0
C0045,NMLT,5.0
C0045,TOA1,7.0
C0045,TOA2,8.5
C0045,TTNT,6.0
C0046,CSD1,8.0
C0046,CSD2,6.0
C0046,CTDL,8.5
C0046,KTLT,5.0
C0046,LQL1,8.0
C0046,LQL2,8.0
C0046,NMLT,6.0
C0046,TOA1,10.0
C0046,TOA2,5.5
C0046,TTNT,8.0
C0047,CSD1,9.0
C0047,CSD2,7.0
C0047,CTDL,7.5
C0047,KTLT,6.0
C0047,LQL1,6.0
C0047,LQL2,6.0
C0047,NMLT,5.0
C0047,TOA1,10.0
C0047,TOA2,7.0
C0047,TTNT,6.0
C0048,CSD1,4.0
C0048,CSD2,9.0
C0048,CTDL,5.5
C0048,KTLT,9.0
C0048,LQL1,9.0
C0048,LQL2,7.0
C0048,NMLT,5.0
C0048,TOA1,5.5
C0048,TOA2,7.5
C0048,TTNT,9.0
C0049,CSD1,7.5
C0049,CSD2,9.0
C0049,CTDL,7.5
C0049,KTLT,7.0
C0049,LQL1,5.0
C0049,LQL2,10.0
C0049,NMLT,8.0
C0049,TOA1,7.5
C0049,TOA2,8.0
C0049,TTNT,7.5
C0050,CSD1,5.0
C0050,CSD2,5.5
C0050,CTDL,5.5
C0050,KTLT,6.0
C0050,LQL1,6.5
C0050,LQL2,9.0
C0050,NMLT,7.0
C0050,TOA1,8.5
C0050,TOA2,6.5
C0050,TTNT,9.0
C0051,CSD1,6.0
C0051,CSD2,9.0
C0051,CTDL,6.5
C0051,KTLT,7.5
C0051,LQL1,7.5
C0051,LQL2,5.5
C0051,NMLT,8.0
C0051,TOA1,5.0
C0051,TOA2,6.0
C0051,TTNT,6.0
C0052,CSD1,10.0
C0052,CSD2,6.0
C0052,CTDL,10.0
C0052,KTLT,10.0
C0052,LQL1,10.0
C0052,LQL2,7.5
C0052,NMLT,9.5
C0052,TOA1,8.0
C0052,TOA2,6.0
C0052,TTNT,8.5
C0053,CSD1,10.0
C0053,CSD2,7.5
C0053,CTDL,4.5
C0053,KTLT,5.5
C0053,LQL1,8.5
C0053,LQL2,5.5
C0053,NMLT,8.0
C0053,TOA1,5.5
C0053,TOA2,5.0
C0053,TTNT,8.0
C0054,CSD1,5.5
C0054,CSD2,9.5
C0054,CTDL,4.0
C0054,KTLT,10.0
C0054,LQL1,5.5
C0054,LQL2,6.0
C0054,NMLT,5.5
C0054,TOA1,9.0
C0054,TOA2,5.5
C0054,TTNT,5.5
C0055,CSD1,10.0
C0055,CSD2,8.5
C0055,CTDL,8.5
C0055,KTLT,7.0
C0055,LQL1,8.5
C0055,LQL2,8.0
C0055,NMLT,4.5
C0055,TOA1,9.5
C0055,TOA2,5.0
C0055,TTNT,9.5
C0056,CSD1,6.0
C0056,CSD2,6.0
C0056,CTDL,5.0
C0056,KTLT,9.5
C0056,LQL1,8.0
C0056,LQL2,8.0
C0056,NMLT,6.0
C0056,TOA1,7.5
C0056,TOA2,4.0
C0056,TTNT,7.0
C0057,CSD1,8.5
C0057,CSD2,9.5
C0057,CTDL,8.0
C0057,KTLT,7.0
C0057,LQL1,5.5
C0057,LQL2,5.5
C0057,NMLT,9.5
C0057,TOA1,8.0
C0057,TOA2,9.5
C0057,TTNT,8.5
C0058,CSD1,6.0
C0058,CSD2,7.0
C0058,CTDL,10.0
C0058,KTLT,9.0
C0058,LQL1,6.0
C0058,LQL2,8.5
C0058,NMLT,9.5
C0058,TOA1,6.0
C0058,TOA2,4.5
C0058,TTNT,6.0
C0059,CSD1,5.5
C0059,CSD2,8.0
C0059,CTDL,4.0
C0059,KTLT,10.0
C0059,LQL1,5.0
C0059,LQL2,5.0
C0059,NMLT,8.0
C0059,TOA1,7.5
C0059,TOA2,9.5
C0059,TTNT,8.5
C0060,CSD1,9.5
C0060,CSD2,9.0
C0060,CTDL,5.5
C0060,KTLT,10.0
C0060,LQL1,10.0
C0060,LQL2,8.0
C0060,NMLT,4.0
C0060,TOA1,8.5
C0060,TOA2,6.5
C0060,TTNT,9.0
C0061,CSD1,6.0
C0061,CSD2,6.5
C0061,CTDL,8.5
C0061,KTLT,6.5
C0061,LQL1,8.0
C0061,LQL2,9.5
C0061,NMLT,7.0
C0061,TOA1,9.5
C0061,TOA2,5.0
C0061,TTNT,5.0
C0062,CSD1,8.5
C0062,CSD2,7.0
C0062,CTDL,7.0
C0062,KTLT,6.0
C0062,LQL1,6.5
C0062,LQL2,9.0
C0062,NMLT,5.0
C0062,TOA1,8.0
C0062,TOA2,5.0
C0062,TTNT,7.0
C0063,CSD1,4.5
C0063,CSD2,7.0
C0063,CTDL,5.0
C0063,KTLT,8.0
C0063,LQL1,6.0
C0063,LQL2,5.5
C0063,NMLT,7.5
C0063,TOA1,6.0
C0063,TOA2,8.5
C0063,TTNT,9.0
C0064,CSD1,4.0
C0064,CSD2,9.5
C0064,CTDL,6.5
C0064,KTLT,5.5
C0064,LQL1,6.5
C0064,LQL2,10.0
C0064,NMLT,7.0
C0064,TOA1,5.5
C0064,TOA2,10.0
C0064,TTNT,8.5
C0065,CSD1,9.0
C0065,CSD2,4.0
C0065,CTDL,9.0
C0065,KTLT,6.0
C0065,LQL1,5.5
C0065,LQL2,9.0
C0065,NMLT,7.0
C0065,TOA1,8.5
C0065,TOA2,5.5
C0065,TTNT,5.0
C0066,CSD1,6.0
C0066,CSD2,10.0
C0066,CTDL,5.0
C0066,KTLT,10.0
C0066,LQL1,5.0
C0066,LQL2,5.0
C0066,NMLT,9.5
C0066,TOA1,9.0
C0066,TOA2,9.0
C0066,TTNT,6.0
C0067,CSD1,7.0
C0067,CSD2,7.5
C0067,CTDL,8.0
C0067,KTLT,6.5
C0067,LQL1,6.0
C0067,LQL2,6.0
C0067,NMLT,6.0
C0067,TOA1,5.0
C0067,TOA2,5.5
C0067,TTNT,7.5
C0068,CSD1,8.5
C0068,CSD2,8.5
C0068,CTDL,5.0
C0068,KTLT,10.0
C0068,LQL1,8.5
C0068,LQL2,7.0
C0068,NMLT,7.5
C0068,TOA1,7.5
C0068,TOA2,8.0
C0068,TTNT,5.5
C0069,CSD1,7.0
C0069,CSD2,8.0
C0069,CTDL,9.0
C0069,KTLT,7.0
C0069,LQL1,7.0
C0069,LQL2,6.5
C0069,NMLT,8.0
C0069,TOA1,6.0
C0069,TOA2,9.0
C0069,TTNT,9.0
C0070,CSD1,5.5
C0070,CSD2,5.5
C0070,CTDL,9.0
C0070,KTLT,8.0
C0070,LQL1,5.0
C0070,LQL2,6.0
C0070,NMLT,5.5
C0070,TOA1,10.0
C0070,TOA2,8.0
C0070,TTNT,10.0
C0071,CSD1,9.0
C0071,CSD2,6.5
C0071,CTDL,8.0
C0071,KTLT,8.0
C0071,LQL1,8.5
C0071,LQL2,9.5
C0071,NMLT,7.0
C0071,TOA1,9.0
C0071,TOA2,7.5
C0071,TTNT,10.0
C0072,CSD1,5.5
C0072,CSD2,6.0
C0072,CTDL,5.5
C0072,KTLT,8.0
C0072,LQL1,10.0
C0072,LQL2,6.0
C0072,NMLT,10.0
C0072,TOA1,6.0
C0072,TOA2,8.5
C0072,TTNT,5.5
C0073,CSD1,9.0
C0073,CSD2,10.0
C0073,CTDL,8.0
C0073,KTLT,7.0
C0073,LQL1,7.0
C0073,LQL2,8.0
C0073,NMLT,9.5
C0073,TOA1,7.0
C0073,TOA2,9.0
C0073,TTNT,5.5
C0074,CSD1,8.5
C0074,CSD2,6.5
C0074,CTDL,7.5
C0074,KTLT,8.5
C0074,LQL1,4.0
C0074,LQL2,9.0
C0074,NMLT,6.5
C0074,TOA1,5.5
C0074,TOA2,7.0
C0074,TTNT,5.5
C0075,CSD1,4.0
C0075,CSD2,9.0
C0075,CTDL,8.0
C0075,KTLT,10.0
C0075,LQL1,7.0
C0075,LQL2,4.0
C0075,NMLT,6.5
C0075,TOA1,6.5
C0075,TOA2,7.0
C0075,TTNT,7.0
C0076,CSD1,6.0
C0076,CSD2,6.0
C0076,CTDL,9.5
C0076,KTLT,6.5
C0076,LQL1,5.0
C0076,LQL2,6.5
C0076,NMLT,5.0
C0076,TOA1,4.0
C0076,TOA2,5.5
C0076,TTNT,4.0
C0077,CSD1,7.5
C0077,CSD2,4.5
C0077,CTDL,8.5
C0077,KTLT,4.0
C0077,LQL1,6.0
C0077,LQL2,6.0
C0077,NMLT,6.5
C0077,TOA1,6.5
C0077,TOA2,6.0
C0077,TTNT,10.0
C0078,CSD1,8.5
C0078,CSD2,8.5
C0078,CTDL,7.5
C0078,KTLT,8.5
C0078,LQL1,6.0
C0078,LQL2,4.0
C0078,NMLT,9.0
C0078,TOA1,4.0
C0078,TOA2,9.5
C0078,TTNT,9.0
C0079,CSD1,7.0
C0079,CSD2,4.0
C0079,CTDL,9.0
C0079,KTLT,10.0
C0079,LQL1,7.0
C0079,LQL2,5.0
C0079,NMLT,8.5
C0079,TOA1,9.0
C0079,TOA2,8.0
C0079,TTNT,6.5
C0080,CSD1,7.5
C0080,CSD2,7.5
C0080,CTDL,9.5
C0080,KTLT,6.0
C0080,LQL1,9.0
C0080,LQL2,7.0
C0080,NMLT,8.5
C0080,TOA1,10.0
C0080,TOA2,10.0
C0080,TTNT,8.0
C0081,CSD1,8.5
C0081,CSD2,5.5
C0081,CTDL,8.5
C0081,KTLT,7.5
C0081,LQL1,5.0
C0081,LQL2,4.0
C0081,NMLT,8.5
C0081,TOA1,6.0
C0081,TOA2,7.0
C0081,TTNT,5.0
C0082,CSD1,9.0
C0082,CSD2,7.0
C0082,CTDL,7.0
C0082,KTLT,7.0
C0082,LQL1,8.0
C0082,LQL2,8.5
C0082,NMLT,9.5
C0082,TOA1,4.0
C0082,TOA2,7.0
C0082,TTNT,8.0
C0083,CSD1,8.0
C0083,CSD2,5.0
C0083,CTDL,5.0
C0083,KTLT,4.0
C0083,LQL1,8.0
C0083,LQL2,7.5
C0083,NMLT,6.0
C0083,TOA1,9.5
C0083,TOA2,10.0
C0083,TTNT,10.0
C0084,CSD1,6.5
C0084,CSD2,9.0
C0084,CTDL,5.0
C0084,KTLT,6.5
C0084,LQL1,9.0
C0084,LQL2,10.0
C0084,NMLT,4.5
C0084,TOA1,6.0
C0084,TOA2,8.0
C0084,TTNT,10.0
C0085,CSD1,8.5
C0085,CSD2,10.0
C0085,CTDL,5.5
C0085,KTLT,6.0
C0085,LQL1,8.5
C0085,LQL2,7.5
C0085,NMLT,5.5
C0085,TOA1,8.0
C0085,TOA2,9.0
C0085,TTNT,7.5
C0086,CSD1,5.0
C0086,CSD2,5.0
C0086,CTDL,6.0
C0086,KTLT,4.5
C0086,LQL1,7.5
C0086,LQL2,8.0
C0086,NMLT,8.5
C0086,TOA1,9.5
C0086,TOA2,7.0
C0086,TTNT,7.5
C0087,CSD1,5.0
C0087,CSD2,5.0
C0087,CTDL,5.5
C0087,KTLT,9.5
C0087,LQL1,6.5
C0087,LQL2,10.0
C0087,NMLT,9.5
C0087,TOA1,7.5
C0087,TOA2,9.0
C0087,TTNT,4.5
C0088,CSD1,9.5
C0088,CSD2,5.5
C0088,CTDL,10.0
C0088,KTLT,10.0
C0088,LQL1,7.5
C0088,LQL2,6.5
C0088,NMLT,7.0
C0088,TOA1,5.0
C0088,TOA2,9.0
C0088,TTNT,5.5
C0089,CSD1,6.0
C0089,CSD2,6.0
C0089,CTDL,9.0
C0089,KTLT,10.0
C0089,LQL1,8.5
C0089,LQL2,9.5
C0089,NMLT,8.0
C0089,TOA1,6.0
C0089,TOA2,7.0
C0089,TTNT,9.5
C0090,CSD1,10.0
C0090,CSD2,6.0
C0090,CTDL,9.0
C0090,KTLT,9.5
C0090,LQL1,4.5
C0090,LQL2,5.0
C0090,NMLT,10.0
C0090,TOA1,8.5
C0090,TOA2,8.5
C0090,TTNT,8.0
C0091,CSD1,9.0
C0091,CSD2,5.5
C0091,CTDL,9.5
C0091,KTLT,8.5
C0091,LQL1,7.0
C0091,LQL2,9.0
C0091,NMLT,9.0
C0091,TOA1,5.0
C0091,TOA2,10.0
C0091,TTNT,5.0
C0092,CSD1,9.5
C0092,CSD2,9.5
C0092,CTDL,8.5
C0092,KTLT,5.5
C0092,LQL1,8.5
C0092,LQL2,5.0
C0092,NMLT,9.5
C0092,TOA1,5.5
C0092,TOA2,7.0
C0092,TTNT,9.0
C0093,CSD1,6.0
C0093,CSD2,7.0
C0093,CTDL,8.0
C0093,KTLT,4.5
C0093,LQL1,9.5
C0093,LQL2,9.5
C0093,NMLT,9.5
C0093,TOA1,5.0
C0093,TOA2,8.5
C0093,TTNT,9.0
C0094,CSD1,7.5
C0094,CSD2,4.0
C0094,CTDL,5.0
C0094,KTLT,4.0
C0094,LQL1,6.5
C0094,LQL2,10.0
C0094,NMLT,6.0
C0094,TOA1,5.0
C0094,TOA2,7.0
C0094,TTNT,9.5
C0095,CSD1,5.0
C0095,CSD2,7.5
C0095,CTDL,5.0
C0095,KTLT,9.0
C0095,LQL1,5.0
C0095,LQL2,6.0
C0095,NMLT,10.0
C0095,TOA1,10.0
C0095,TOA2,5.5
C0095,TTNT,5.0
C0096,CSD1,9.5
C0096,CSD2,4.5
C0096,CTDL,5.0
C0096,KTLT,5.0
C0096,LQL1,5.5
C0096,LQL2,8.5
C0096,NMLT,5.0
C0096,TOA1,6.5
C0096,TOA2,5.5
C0096,TTNT,5.5
C0097,CSD1,9.5
C0097,CSD2,7.0
C0097,CTDL,4.5
C0097,KTLT,9.5
C0097,LQL1,5.0
C0097,LQL2,5.0
C0097,NMLT,9.0
C0097,TOA1,6.0
C0097,TOA2,7.5
C0097,TTNT,6.0
C0098,CSD1,8.5
C0098,CSD2,5.0
C0098,CTDL,7.5
C0098,KTLT,5.0
C0098,LQL1,9.0
C0098,LQL2,9.5
C0098,NMLT,4.5
C0098,TOA1,6.0
C0098,TOA2,7.0
C0098,TTNT,6.0
C0099,CSD1,6.0
C0099,CSD2,8.5
C0099,CTDL,5.0
C0099,KTLT,7.5
C0099,LQL1,8.5
C0099,LQL2,6.5
C0099,NMLT,7.5
C0099,TOA1,4.5
C0099,TOA2,10.0
C0099,TTNT,7.0
C0100,CSD1,6.0
C0100,CSD2,7.5
C0100,CTDL,4.5
C0100,KTLT,6.0
C0100,LQL1,7.5
C0100,LQL2,8.0
C0100,NMLT,5.5
C0100,TOA1,7.5
C0100,TOA2,10.0
C0100,TTNT,4.5
C0101,CSD1,9.5
C0101,CSD2,10.0
C0101,CTDL,5.5
C0101,KTLT,5.0
C0101,LQL1,5.5
C0101,LQL2,6.5
C0101,NMLT,4.5
C0101,TOA1,7.0
C0101,TOA2,9.5
C0101,TTNT,7.5
C0102,CSD1,6.0
C0102,CSD2,5.5
C0102,CTDL,8.5
C0102,KTLT,5.0
C0102,LQL1,8.0
C0102,LQL2,9.5
C0102,NMLT,9.0
C0102,TOA1,7.0
C0102,TOA2,6.5
C0102,TTNT,6.0
C0103,CSD1,7.5
C0103,CSD2,7.5
C0103,CTDL,8.5
C0103,KTLT,9.5
C0103,LQL1,6.0
C0103,LQL2,4.5
C0103,NMLT,9.5
C0103,TOA1,8.5
C0103,TOA2,5.0
C0103,TTNT,6.5
C0104,CSD1,6.5
C0104,CSD2,6.5
C0104,CTDL,6.0
C0104,KTLT,4.5
C0104,LQL1,5.0
C0104,LQL2,8.0
C0104,NMLT,7.5
C0104,TOA1,9.0
C0104,TOA2,6.0
C0104,TTNT,6.0
C0105,CSD1,7.0
C0105,CSD2,6.0
C0105,CTDL,8.0
C0105,KTLT,9.5
C0105,LQL1,5.5
C0105,LQL2,7.0
C0105,NMLT,7.0
C0105,TOA1,9.0
C0105,TOA2,10.0
C0105,TTNT,5.5
C0106,CSD1,6.5
C0106,CSD2,6.0
C0106,CTDL,6.5
C0106,KTLT,6.0
C0106,LQL1,5.0
C0106,LQL2,9.0
C0106,NMLT,8.0
C0106,TOA1,5.5
C0106,TOA2,8.0
C0106,TTNT,5.0
C0107,CSD1,6.5
C0107,CSD2,9.5
C0107,CTDL,8.5
C0107,KTLT,9.0
C0107,LQL1,4.0
C0107,LQL2,7.0
C0107,NMLT,5.5
C0107,TOA1,7.5
C0107,TOA2,6.5
C0107,TTNT,8.5
C0108,CSD1,9.0
C0108,CSD2,8.0
C0108,CTDL,4.5
C0108,KTLT,9.0
C0108,LQL1,9.5
